mean,std,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,cost,Class,Layer Index
1510.5423583984375,127.1143798828125,1380.0,1437.0,1468.0,1497.0,1518.0,1546.0,1572.0,1597.0,1640.0,1920.0,20.0,1.0,155
1496.0579833984375,124.69071960449219,1362.0,1421.0,1452.0,1475.0,1504.0,1532.0,1559.0,1591.0,1634.0,1884.0,20.0,1.0,156
1467.0574951171875,187.65322875976562,1289.0,1380.0,1429.0,1468.0,1490.0,1525.0,1559.0,1597.0,1640.0,1916.0,0.0,0.0,157
1455.8922119140625,185.79202270507812,1228.0,1336.0,1397.0,1445.0,1483.0,1518.0,1559.0,1597.0,1651.0,1888.0,0.0,0.0,158
1455.9508056640625,181.00738525390625,1269.0,1371.0,1421.0,1452.0,1490.0,1518.0,1546.0,1578.0,1628.0,1932.0,0.0,0.0,159
1443.605224609375,199.3148193359375,1217.0,1326.0,1388.0,1437.0,1475.0,1511.0,1552.0,1591.0,1651.0,1935.0,0.0,0.0,160
1471.66455078125,203.568359375,1228.0,1354.0,1421.0,1468.0,1511.0,1546.0,1578.0,1622.0,1680.0,1908.0,0.0,0.0,161
1608.019287109375,160.61708068847656,1429.0,1497.0,1552.0,1591.0,1628.0,1657.0,1696.0,1733.0,1782.0,2058.0,80.0,2.0,162
1534.3433837890625,138.83383178710938,1380.0,1445.0,1483.0,1518.0,1546.0,1572.0,1604.0,1634.0,1685.0,2061.0,80.0,2.0,163
1571.8779296875,139.9441375732422,1429.0,1490.0,1525.0,1552.0,1585.0,1610.0,1640.0,1674.0,1722.0,1997.0,80.0,2.0,164
1496.3795166015625,122.7274169921875,1371.0,1421.0,1460.0,1483.0,1511.0,1532.0,1559.0,1585.0,1628.0,1912.0,20.0,1.0,165
1510.3804931640625,125.35802459716797,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1597.0,1646.0,1920.0,20.0,1.0,166
1549.7906494140625,142.72430419921875,1397.0,1460.0,1504.0,1532.0,1559.0,1591.0,1622.0,1657.0,1701.0,2041.0,20.0,1.0,167
1517.9945068359375,131.6964874267578,1388.0,1445.0,1475.0,1504.0,1532.0,1552.0,1578.0,1610.0,1651.0,1920.0,20.0,1.0,168
1484.848876953125,119.92668151855469,1362.0,1413.0,1445.0,1468.0,1490.0,1518.0,1539.0,1572.0,1610.0,2011.0,20.0,1.0,169
1520.6888427734375,135.4709014892578,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1591.0,1622.0,1668.0,1976.0,20.0,1.0,170
1512.2626953125,128.41485595703125,1380.0,1429.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1646.0,1935.0,20.0,1.0,171
1495.1815185546875,121.44442749023438,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1552.0,1585.0,1622.0,1871.0,20.0,1.0,172
1507.246826171875,132.280029296875,1371.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1935.0,20.0,1.0,173
1518.9541015625,132.7770538330078,1380.0,1437.0,1468.0,1504.0,1532.0,1559.0,1585.0,1622.0,1668.0,1983.0,20.0,1.0,174
1513.1085205078125,131.14662170410156,1371.0,1429.0,1468.0,1497.0,1518.0,1552.0,1578.0,1610.0,1651.0,2101.0,20.0,1.0,175
1505.61669921875,136.2174835205078,1371.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1965.0,20.0,1.0,176
1522.399658203125,133.2347412109375,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1622.0,1668.0,1954.0,20.0,1.0,177
1521.112060546875,134.53416442871094,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1663.0,1969.0,20.0,1.0,178
1518.803466796875,137.2849884033203,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1622.0,1663.0,1965.0,20.0,1.0,179
1509.777587890625,127.79643249511719,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1597.0,1646.0,1962.0,20.0,1.0,180
